5795,Medicine,Psychology,Medicine,0,,Medicine
4814,Medicine,Radiation Oncology,Medicine,0,,Medicine
4824,Medicine,Radiology,Medicine,0,,Medicine
4842,Medicine,Rotating,Medicine,0,,Medicine
5950,Medicine,Speech & Hearing Science,Medicine,0,,Medicine
4924,Medicine,Surgery,Medicine,0,,Medicine
4975,Medicine,Urology,Medicine,0,,Medicine
5310,Grad Acad,Global Health Sciences,not required (Grad Div),1,MS,Grad Acad
1550,Nursing,Nursing,Nursing,0,,Nursing
1551,Nursing,Nursing,Nursing,0,,Nursing
1552,Nursing,Nursing,Nursing,0,,Nursing
5559,Nursing,Nursing Limited,Nursing,0,,Nursing
5560,Nursing,Nursing Science,Nursing,0,,Nursing
5900,Nursing,Sociology,Nursing,1,PhD,Nursing
5555,Nursing,Nursing,Nursing (BS/MS),0,,Nursing
5552,Nursing,Nursing,Nursing (MEPN),1,MS,Nursing
5550,Nursing,Nursing,Nursing (MS),1,MS,Nursing
5557,Nursing,Nursing,Nursing (PhD),1,PhD,Nursing
5450,Grad Acad,Biological and Medical Informatics,Pharmacy,1,PhD,Grad Acad
5710,Grad Acad,Chemistry and Chemical Biology,Pharmacy,1,PhD,Grad Acad
5700,Pharmacy,Pharmaceutical Chemistry,Pharmacy,0,,Pharmacy
5715,Grad Acad,Pharmaceutical Sciences and Pharmacogenomics,Pharmacy,1,PhD,Grad Acad
1730,Pharmacy,Pharmacy,Pharmacy,0,,Pharmacy
2730,Pharmacy,Pharmacy,Pharmacy,0,,Pharmacy
4990,Pharmacy,Pharmacy Resident,Pharmacy,0,,Pharmacy
,SRHP,"Chaplain, Pastoral Care",SRHP,0,,SRHP
,SRHP,Child Trauma Research Prgm (CTRP),SRHP,0,,SRHP
,SRHP,Clinical Pastoral Education,SRHP,0,,SRHP
,SRHP,Clinical Psychology,SRHP,0,,SRHP
,SRHP,Dietetic Intern,SRHP,,,SRHP
,SRHP,Pharmacy Specialty Resident,SRHP,,,SRHP
6011,SRHP,Chaplains Med Ctr,SRHP ??,0,,SRHP
5963,Unclassified,Unclassified,Unclassified,,,Unclassified
6009,Visitor,Dental Mentorship Prgm,Visitor,,,Visitor
5018,Visitor,Dental Post-Baccalaureate,Visitor,,,Visitor
6018,Visitor,Dental Post-Baccalaureate,Visitor,,,Visitor
6013,Visitor,Dentistry Visitor,Visitor,0,,Visitor
6020,Visitor,Dorris Duke Fellowship Prgm,Visitor,,,Visitor
6004,Visitor,Education Abroad Program,Visitor,,,Visitor
6017,Visitor,Graduate Div Visitor,Visitor,,,Visitor
6002,Visitor,Intercampus Exchange,Visitor,,,Visitor
6007,Visitor,Intercampus Visitor,Visitor,,,Visitor
6012,Visitor,Intercampus Visitor,Visitor,,,Visitor
5008,Visitor,Med Post-Baccalaureate,Visitor,,,Visitor
6008,Visitor,Med Post-Baccalaureate,Visitor,,,Visitor
6014,Visitor,Medicine Visitor,Visitor,,,Visitor
6010,Visitor,Nursing Post-Masters,Visitor,,,Visitor
6016,Visitor,Nursing Visitor,Visitor,,,Visitor
5019,Visitor,Pharm Post-Baccalaureate,Visitor,,,Visitor
6019,Visitor,Pharm Post-Baccalaureate,Visitor,,,Visitor
6015,Visitor,Pharmacy Visitor,Visitor,,,Visitor
6001,Visitor,San Francisco Consortium,Visitor,,,Visitor
6003,Visitor,University Exchange,Visitor,,,Visitor
